id,number,name,address,city,province,reg_date,cert_date,certification_level_id,rating_system_id,size,project_type_id,owner_type_id
204,17395,University of Calgary-The Owerko Centre at the Alberta Children's Hospital Research Institute,3820 24 Avenue NW,Calgary,Alberta,2015-03-30,2016-11-10,3,20,785,18,9
205,15757,University of Calgary - Administration Building Executive Suite,539 Campus Place NW,Calgary,Alberta,2012-08-29,2015-03-31,3,20,2694,21,9
1,11107,TD Bank - McKenzie Towne,49 McKenzie Towne Ave.,Calgary,Alberta,2008-04-29,2015-03-24,1,25,557,2,1
206,10187,University of Calgary - Child Development Centre,University of Calgary,Calgary,Alberta,2005-07-08,2007-10-15,4,25,11780,21,9
107,14660,Cardel Place (previously Nose Creek Recreation & Library Facility),250 Country Village Way NE,Calgary,Alberta,2007-09-11,2005-05-02,3,11,17930,4,3
141,14658,Crowfoot Library,8665 Nose Hill Drive NW,Calgary,Alberta,2007-09-11,2005-02-03,1,11,2623,15,5
126,14661,Country-Hills Multi-Services Centre,Country Village Link NE,Calgary,Alberta,2007-09-11,2005-10-27,2,11,4002,23,3
86,14559,North Hill Home Depot,1818 16 Ave. NW,Calgary,Alberta,2004-01-21,2006-03-27,1,11,9048,25,1
87,16406,Target - 3772: Calgary Chinook,6455 Macleod Trail SW.,Calgary,Alberta,2013-02-13,2013-08-22,1,15,10240,25,1
88,16370,Starbucks Market Mall SC West,3625 Shaganappi Trail NW - D002,Calgary,Alberta,2013-05-29,2013-08-09,1,16,137,25,1
113,15454,"City of Calgary, Municipal Building, 12th Floor",800 Macleod Trail SE,Calgary,Alberta,2012-04-16,2015-05-05,1,20,2658,21,3
114,16168,Calgary Municipal Building 8th Floor,"Floor 8, 800 Macleod Trail SE",Calgary,Alberta,2013-04-05,2017-12-13,2,20,4545,21,3
115,16266,Georgina Thomson Building,772 Northmount Drive NW,Calgary,Alberta,2013-06-06,2017-05-04,2,20,541,21,3
116,16099,Spring Gardens Building D,"928-32 Ave, NE, Building D",Calgary,Alberta,2013-02-28,2016-10-13,2,20,1138,21,3
117,15453,Municipal Building 9th Floor,"9th Fl., 800 Macleod Trail SE",Calgary,Alberta,2012-04-16,2015-04-09,2,20,3510,21,3
118,13167,Calgary Police Service - Westwinds Campus East Building,5111 47th Street NE,Calgary,Alberta,2010-02-09,2014-10-07,2,20,40607,21,3
119,12098,Ad Valorem Place,2924 - 11 Street NE,Calgary,Alberta,2009-04-21,2010-11-05,2,20,7689,21,3
120,16162,Calgary Public Building Levels 3 - 6,201 8th Avenue South-West,Calgary,Alberta,2013-04-18,2017-05-11,3,20,14127,21,3
121,15959,Andrew Davison Office Levels 3 and 4,"133 6th Avenue SE, 3rd and 4th Flrs.",Calgary,Alberta,2013-05-21,2016-03-24,3,20,2166,21,3
138,12450,Calgary Public Building - Floors 7 & 8,205 8 Ave SE,Calgary,Alberta,2009-08-11,2012-10-31,4,20,2929,21,4
152,15951,EllisDon Calgary Office - Suite 450,"450, 7220 Fisher Street SE",Calgary,Alberta,2012-11-27,2015-03-11,1,20,258,21,6
153,15850,Gibbs Gage Architects Interior Space,"140 - 10th Avenue S.E Calgary, Alberta",Calgary,Alberta,2012-10-02,2013-10-31,1,20,1434,21,6
154,15510,Sheldon Kennedy Child Advocacy Centre,4th floor - 3820 24th Avenue NW,Calgary,Alberta,2012-05-02,2014-03-21,3,20,2655,21,6
158,11532,"Common Areas, The CORE Shopping Centre",324 - 8th Avenue,Calgary,Alberta,2009-02-03,2014-12-07,3,20,40000,25,6
159,15336,Nexen Wellness Centre,"801  7 Ave. SW, 10th Floor",Calgary,Alberta,2012-01-26,2014-10-23,2,20,1849,28,6
14,16528,XL Catlin Calgary Office,"Suite 1500, 324 8th Ave. N.W.",Calgary,Alberta,2014-09-23,2015-12-07,1,20,452,21,1
15,15310,SNC-Lavalin Transmission & Distribution Calgary Office,640-5th Ave. S.W.,Calgary,Alberta,2012-02-27,2014-03-17,1,20,8318,21,1
16,11315,First Calgary Financial Contact Center,"5th Floor, 1212 31 Avenue NE",Calgary,Alberta,2008-05-05,2012-08-25,1,20,418,21,1
