“id”,“project_number”,“project_name”,"project_address",“project_city”,“project_province”,“registration_date”,“certification_date”,certification_level,rating_system,“project_size”,project_type,owner_type
"1","13415","Carrefour St-David Est - Batiment D","3505-3507,  Clemenceau","Quebec (Beauport)","Quebec","2010-06-15","2014-02-25","2",“21”,"763","1",“1”
"2","15322","TELUS World of Science Edmonton - Feature Exhibit Gallery","11121 142 Street NW","Edmonton","Alberta","2012-01-18","2015-01-23","2",“26”,"1400","1",“1”
"3","14609","Centre des congres de Quebec","1000 boulevard Rene-Levesque Est","Quebec","Quebec","2007-01-25","2011-07-04","2",“39”,"46173","1",“1”
"4","10123","TOHU (previously Chapiteau des Arts)","2345, rue Jarry Est","Montréal","Quebec","2005-02-22","2005-12-16","3",“25”,"49121","1",“1”
"5","14715","Carrefour du Versant Ouest","1534 Boulevard Greber","Gatineau","Quebec","2008-05-30","2013-12-16","1",“3”,"764","2",“1”
"6","14544","Envision Credit Union - Willoughby Branch","20193 64th Avenue","Langley","British Columbia","2003-04-13","2005-11-04","1",“11”,"0","2",“1”
"7","13152","Steeple Hill - 670 Kingston Road","650 Kingston Road","Pickering","Ontario","2010-02-16","2012-12-11","1",“21”,"571","2",“1”
"8","13432","Carrefour St-Hubert - Bâtiment A","5900 Boulevard Cousineau","St-Hubert","Quebec","2010-06-15","2015-01-12","1",“21”,"440","2",“1”
"9","10806","Bank of Montreal, Kingston Road and Salem, Ajax","180 Kingston Rd East","Ajax","Ontario","2007-07-11","2010-03-18","1",“25”,"498","2",“1”
"10","11107","TD Bank - McKenzie Towne","49 McKenzie Towne Ave.","Calgary","Alberta","2008-04-29","2015-03-24","1",“25”,"557","2",“1”
"11","13430","Galeries de Repentigny - Banque Laurentienne","85 Brien","Repentigny","Quebec","2010-06-15","2014-08-13","1",“25”,"667","2",“1”
"12","11308","TD Canada Trust - 2650 Lawrence Avenue East","2650 Lawrence Avenue East","Toronto","Ontario","2008-05-02","2012-11-21","1",“25”,"465","2",“1”
"13","10228","Entegra Credit Union Limited - Disraeli Branch","121 Disraeli Freeway","Winnipeg","Manitoba","2005-10-20","2007-12-11","1",“25”,"570","2",“1”
"14","13208","Confidential Project",,,"Manitoba","2010-02-24","2014-09-25","1",“25”,"471","2",“1”
"15","11412","Confidential Project",,,"Manitoba","2008-06-16","2013-02-15","1",“25”,"537","2",“1”
"16","15359","RBC Bowmanville, King & Liberty","195 King St. E","Bowmanville","Ontario","2012-02-23","2014-11-17","1",“26”,"489","2",“1”
"17","16584","Banque Royale du Canada – Boutique Lachenaie","287 Montée des Pionniers","Lachenaie","Quebec","2013-09-17","2017-02-10","1",“26”,"371","2",“1”
"18","15958","RBC Banque Royale, St-Hubert","5929 boul. Cousineau","St-Hubert","Quebec","2012-12-11","2014-12-19","1",“26”,"371","2",“1”
"19","16308","Confidential Project",,,"Quebec","2013-07-03","2016-05-13","1",“26”,"481","2",“1”
