rating_system,version
LEED BC-NC,1
LEED BD+C: Core and Shell,1
LEED BD+C: Core and Shell,2
LEED BD+C: Core and Shell,2009
LEED BD+C: Core and Shell,v4
LEED BD+C: Healthcare,2009
LEED BD+C: Healthcare,v4
LEED BD+C: Homes and Multifamily Low-rise,v4
LEED BD+C: Multifamily Midrise,v4
LEED BD+C: New Construction,2
LEED BD+C: New Construction,2.1
LEED BD+C: New Construction,2.2
LEED BD+C: New Construction,2009
LEED BD+C: New Construction,v4
LEED BD+C: Retail,2009
LEED BD+C: Retail,pilot
LEED BD+C: Schools,2009
LEED BD+C: Schools,v4
LEED BD+C: Warehouses and Distribution Centers,v4
LEED Canada for Commercial Interiors,1
LEED Canada for Core and Shell Development,1
LEED Canada for Core and Shell Development,2009
LEED Canada for Existing Buildings: Operations and Maintenance,2009
LEED Canada for Homes,2009
LEED Canada for New Construction and Major Renovations,1
LEED Canada for New Construction and Major Renovations,2009
LEED ID+C: Commercial Interiors,1
LEED ID+C: Commercial Interiors,2
LEED ID+C: Commercial Interiors,2009
LEED ID+C: Commercial Interiors,pilot
LEED ID+C: Commercial Interiors,v4
LEED ID+C: Retail,2009
LEED ID+C: Retail,pilot
LEED ID+C: Retail,v4
LEED O+M: Existing Buildings,1
LEED O+M: Existing Buildings,2009
LEED O+M: Existing Buildings,v4
LEED O+M: Existing Buildings-Performance Score,v4
LEED-EB,2
LEED-EB,2009
LEED-ND,2009
LEED-ND,pilot
ZCB-Design,N/A
